,airport,location,lat,lon
0,Eagle Airport,Alaska,32.6804008,-97.9373016
1,Abbs Airport,Yemen,16.0112794,43.1738327
2,Siwo Airport,Shefa,-17.0902996,168.3430023
3,Elenak Airport,Marshall Islands,9.3201752,166.8454746
4,Najran Domestic Airport,Saudi Arabia,17.61030315,44.41506761381417
5,Phifer Airfield,Wyoming,42.0547084,-104.9370627
6,Kearney Regional Airport,Switzerland,40.726652200000004,-99.00166250001115
7,San Sebastián Airport,Nebraska,-53.31670965,-68.65845733443629
8,Pangborn Memorial Airport,Basque Country,47.39918335,-120.2056902534639
9,Chippewa Valley Regional Airport,Washington,44.8689683,-91.4855007489738
10,Marina di Campo Airport,Wisconsin,42.76067045,10.23957340452682
11,Entebbe International Airport,Tuscany,0.044802,32.4429895
12,El Obeid Airport,Uganda,13.1569872,30.2344824
13,El Bagre Airport,Sudan,14.5844444,29.4917691
14,El Bayadh Airport,Colombia,33.72710575,1.0982889146258963
15,Esbjerg Airport,Algeria,55.5255815,8.55097612299707
16,Erbil International Airport,Denmark,36.2378891,43.94885840135595
17,El Borma Airport,Iraq,31.70395315,9.254216544368822
18,Ebadon Airstrip,Tunisia,33.8439408,9.400138
19,Ebon Airport,Marshall Islands,4.5988889,168.7530556
20,Webster City Municipal Airport,Marshall Islands,42.43588965,-93.86933628207554
21,Saint-Étienne–Bouthéon Airport,Iowa,45.54021095,4.296047797902659
22,Ebolowa Airport,Rhône-Alpes,2.8742843,9.9771073
23,Iosco County Airport,Cameroon,44.312845100000004,-83.42222246689404
24,Elizabeth City Regional Airport,Michigan,36.252227000000005,-76.16770662522441
25,Echuca Airport,North Carolina,-36.1621057,144.7610910972121
26,Costa Esmeralda Airport,Victoria,-36.5986096,144.6780052
27,Ercan International Airport,Nicaragua,35.1531878,33.50531563537501
28,El Encanto Airport,Northern Cyprus,-1.616667,-73.233333
29,Northwest Florida Beaches International Airport,Colombia,30.360829199999998,-85.79665444045067
30,El Charco Airport,Florida,2.533333,-78.016667
31,Mondell Field,Colombia,43.88523975,-104.31898370514246
32,Edna Bay Seaplane Base,Wyoming,55.949259,-133.6632433
33,El Debba Airport,Alaska,18.01405295,30.95845987840464
34,Erldunda Airport,Sudan,-25.20596675,133.25419581618888
35,Northeastern Regional Airport,Northern Territory,36.0328626,-76.56897347881693
36,Elmendorf Air Force Base,North Carolina,61.25323915,-149.80818022420294
37,Edinburgh Airport,Alaska,55.95012215,-3.359479080364204
38,Captain Jack Thomas/El Dorado Airport,Scotland,56.7861112,-4.1140518
39,Eldoret International Airport,Kansas,0.4043631,35.23328885990355
40,La Roche-sur-Yon Aerodrome,Kenya,46.93158635,-1.328093510858726
41,Balıkesir Koca Seyit Airport,Pays de la Loire,39.5524753,27.01062104014322
42,Erandique Airport,Turkey,14.235842949999999,-88.43759892411458
43,Edward River Airport,Honduras,-35.3122877,145.1129704
44,Edwards Air Force Base,Queensland,34.900814,-117.94395332567805
45,Wales Airport,Alaska,44.1723218,-70.021076
46,Needles Airport,California,34.76820455,-114.63526247109857
47,Eek Airport,California,60.21367395,-162.04395780488488
48,Dillant–Hopkins Airport,Alaska,42.8994,-72.268897
49,Ellington Field,New Hampshire,29.6169893,-95.17049891728188
50,Efogi Airport,Texas,31.8160381,-99.5120986
51,Newport State Airport,Papua New Guinea,41.531696350000004,-71.2822717202879
52,Cephalonia International Airport,Vermont,44.5990718,-72.5002608
53,Jefferson Municipal Airport,Greece,42.010432300000005,-94.3414304140079
54,Engati Airport,Iowa,-6.917968050000001,146.10562831870763
55,Bergerac Dordogne Périgord Airport,Papua New Guinea,44.825437550000004,0.5146458309352377
56,Eagle County Regional Airport,Aquitaine,39.642583349999995,-106.91792145804172
57,Duke Field,Vail,30.651925900000002,-86.52446933078832
58,Neghelle Airport,Florida,5.2758674,39.7525564
59,Seghe Airport,Ethiopia,-8.57841015,157.87571526344942
60,Geneina Airport,Western Province,13.4816999,22.4671993
61,Belgorod International Airport,Sudan,50.645263,36.58129441718667
62,Maverick County Memorial International Airport,Belgorod Oblast,28.857418,-100.51662834693605
63,Wacca Airport,Ethiopia,10.2116702,38.6521203
64,Andriamena Airport,Madagascar,-17.6303913,47.7227904
65,Wadi al-Dawasir Domestic Airport,Saudi Arabia,20.502582150000002,45.2001235533002
66,Wana Airport,Pakistan,32.3049895,69.57285596646085
67,Whanganui Airport,New Zealand,-39.9636133,175.02471743074727
68,Harry Stern Airport,North Dakota,46.245350349999995,-96.60699724016004
69,Ambalabe Airport,Madagascar,-14.9031941,47.9949366
70,Wawoi Falls Airport,Papua New Guinea,-5.6816069,144.2489081
71,Ankazoabo Airport,Madagascar,-22.2988757,44.5328871
72,Wallops Flight Facility,Virginia,37.855614700000004,-75.49639969025829
73,Ambatondrazaka Airport,Madagascar,-17.7953922,48.4424785
74,Wabo Airport,Papua New Guinea,-0.54887245,166.92074283910955
75,Alto Palena Airfield,Chile,-31.7613365,-71.3187697
76,Antsalova Airport,Madagascar,-18.6994859,44.6160405
77,Waris Airport,Indonesia,-3.2225723,140.9789658
78,Waterford Airport,Ireland,52.1868444,-7.086350954115158
79,Wauchope Airport,New South Wales,-20.64069635,134.21494909437894
80,Wave Hill Airport,Northern Territory,-17.3932991,131.1179962
81,Vaasa Airport,Finland,63.0449579,21.7641844
82,Egilsstaðir Airport,Texas,65.28288914999999,-14.40198938402052
83,Eagle River Union Airport,Iceland,45.931049349999995,-89.2679257
84,Egegik Airport,Wisconsin,58.1865933,-157.3747803
85,El Bolsón Airport,Alaska,-41.94230385,-71.5325905070779
86,Cape Newenham LRRS Airport,Río Negro,58.6463889,-162.0625
87,Popondetta Airport,Alaska,-8.8045,148.309
88,Eisenach-Kindel Airport,Papua New Guinea,50.9929015,10.47751591227485
89,Yeniseysk Airport,Thuringia,58.480410750000004,92.11027090446473
90,Einasleigh Airport,Krasnoyarsk Krai,-18.50447295,144.0941306835668
91,Yeysk Airport,Queensland,46.68642715,38.237090840336535
