airport,location
Eagle Airport,Alaska
Abbs Airport,Yemen
Siwo Airport,Shefa
Elenak Airport,Marshall Islands
Najran Domestic Airport,Saudi Arabia
Phifer Airfield,Wyoming
Kearney Regional Airport,Switzerland
San Sebastián Airport,Nebraska
Pangborn Memorial Airport,Basque Country
Chippewa Valley Regional Airport,Washington
Marina di Campo Airport,Wisconsin
Entebbe International Airport,Tuscany
El Obeid Airport,Uganda
El Bagre Airport,Sudan
El Bayadh Airport,Colombia
Esbjerg Airport,Algeria
Erbil International Airport,Denmark
El Borma Airport,Iraq
Ebadon Airstrip,Tunisia
Ebon Airport,Marshall Islands
Webster City Municipal Airport,Marshall Islands
Saint-Étienne–Bouthéon Airport,Iowa
Ebolowa Airport,Rhône-Alpes
Iosco County Airport,Cameroon
Elizabeth City Regional Airport,Michigan
Echuca Airport,North Carolina
Costa Esmeralda Airport,Victoria
Ercan International Airport,Nicaragua
El Encanto Airport,Northern Cyprus
Northwest Florida Beaches International Airport,Colombia
El Charco Airport,Florida
Mondell Field,Colombia
Edna Bay Seaplane Base,Wyoming
El Debba Airport,Alaska
Erldunda Airport,Sudan
Northeastern Regional Airport,Northern Territory
Elmendorf Air Force Base,North Carolina
Edinburgh Airport,Alaska
Captain Jack Thomas/El Dorado Airport,Scotland
Eldoret International Airport,Kansas
La Roche-sur-Yon Aerodrome,Kenya
Balıkesir Koca Seyit Airport,Pays de la Loire
Erandique Airport,Turkey
Edward River Airport,Honduras
Edwards Air Force Base,Queensland
Wales Airport,Alaska
Needles Airport,California
Eek Airport,California
Dillant–Hopkins Airport,Alaska
Ellington Field,New Hampshire
Efogi Airport,Texas
Newport State Airport,Papua New Guinea
Cephalonia International Airport,Vermont
Jefferson Municipal Airport,Greece
Engati Airport,Iowa
Bergerac Dordogne Périgord Airport,Papua New Guinea
Eagle County Regional Airport,Aquitaine
Duke Field,Vail
Neghelle Airport,Florida
Seghe Airport,Ethiopia
Geneina Airport,Western Province
Belgorod International Airport,Sudan
Maverick County Memorial International Airport,Belgorod Oblast
Wacca Airport,Ethiopia
Andriamena Airport,Madagascar
Wadi al-Dawasir Domestic Airport,Saudi Arabia
Wana Airport,Pakistan
Whanganui Airport,New Zealand
Harry Stern Airport,North Dakota
Ambalabe Airport,Madagascar
Wawoi Falls Airport,Papua New Guinea
Ankazoabo Airport,Madagascar
Wallops Flight Facility,Virginia
Ambatondrazaka Airport,Madagascar
Wabo Airport,Papua New Guinea
Alto Palena Airfield,Chile
Antsalova Airport,Madagascar
Waris Airport,Indonesia
Waterford Airport,Ireland
Wauchope Airport,New South Wales
Wave Hill Airport,Northern Territory
Vaasa Airport,Finland
Egilsstaðir Airport,Texas
Eagle River Union Airport,Iceland
Egegik Airport,Wisconsin
El Bolsón Airport,Alaska
Cape Newenham LRRS Airport,Río Negro
Popondetta Airport,Alaska
Eisenach-Kindel Airport,Papua New Guinea
Yeniseysk Airport,Thuringia
Einasleigh Airport,Krasnoyarsk Krai
Yeysk Airport,Queensland
Eielson Air Force Base,Krasnodar Krai
Eindhoven Airport,Alaska
Terrance B. Lettsome International Airport,Netherlands
Ein Yahav Airfield,British Overseas Territory
Yariguíes Airport,Israel
Al Wajh Domestic Airport,Colombia
Xinyang Minggang Airport,Henan
Alice Arm/Silver City Water Aerodrome,British Columbia
Warsaw Chopin Airport,Poland
Zuwarah Airport,Libya
Greene County Airport,Pennsylvania
Warwick Airport,Queensland
Wahai Airport,Indonesia
Stebbins Airport,Alaska
Wapolu Airport,Papua New Guinea
Befandriana Airport,Madagascar
Ankaizina Airport,Madagascar
Schleswig Air Base,Schleswig-Holstein
West Branch Community Airport,Michigan
Wapenamanda Airport,Papua New Guinea
Antsoa Airport,Madagascar
Beaver Airport,Alaska
Roben–Hood Airport,Michigan
Yavarate Airport,Colombia
Varrelbusch Airport,Lower Saxony
Moody Air Force Base,Georgia
Valence-Chabeuil Airport,Rhône-Alpes
Major Brigadeiro Trompowsky Airport,Minas Gerais
Cap. Av. Vidal Villagomez Toledo Airport,Bolivia
Vanimo Airport,Papua New Guinea
Chevak Airport,Alaska
Valença Airport,Bahia
Villa International Airport,Maldives
Van Ferit Melen Airport,Turkey
Suavanao Airport,Solomon Islands
Rodelillo Airfield,Chile
Varna Airport,Bulgaria
Davison Army Airfield,Virginia
Ejin Banner Taolai Airport,Saudi Arabia
Enejit Airport,Inner Mongolia
Murray Field,Mili Atoll
Ekibastuz Airport,California
Elkedra Airport,Kazakhstan
Ekereku Airport,Northern Territory
Elkhart Municipal Airport,Guyana
Elkins-Randolph County Airport,Indiana
Elko Regional Airport,West Virginia
Shakhtyorsk Airport,Nevada
Eskilstuna Airport,Sakhalin Oblast
Elizabethtown Regional Airport,Sweden
Eagle Lake Airport,Kentucky
Las Flores Airport,Texas
Anahim Lake Airport,British Columbia
Álamos Airport,Sonora
Serafin Enoss Bertaso Airport,Santa Catarina
Aribinda Airport,Burkina Faso
Saül Airport,French Guiana
Blubber Bay Seaplane Base,British Columbia
Bearskin Lake Airport,Ontario
Bogande Airport,Burkina Faso
Birjand International Airport,Iran
Bedele Airport,Ethiopia
Biniguni Airport,Papua New Guinea
Boulsa Airport,Burkina Faso
Brockville Regional Tackaberry Airport,Ontario
Christmas Island Airport,Saskatchewan
Cluff Lake Airport,Ontario
Chatham-Kent Airport,Philippines
Coron Airport,Victoria
Colac Airport,Champagne-Ardenne
Châlons Vatry Airport,Burkina Faso
York Landing Airport,Manitoba
Zadar Airport,Croatia
Franjo Tuđman Airport,Croatia
Zahedan Airport,Iran
Zaranj Airport,Afghanistan
Pichoy Airport,Chile
Zamboanga International Airport,Philippines
Cahors - Lalbenque Airport,Midi-Pyrénées
Zaria Airport,Nigeria
Zhaotong Airport,Yunnan
Zaragoza Airport,Aragon
Zábřeh Airport,Czech Republic
Bathurst Airport,New Brunswick
Žabljak Airport,Montenegro
Biloela Airport,Queensland
Roland-Désourdy Airport,Quebec
Boulder Municipal Airport,Colorado
Wilkes-Barre Wyoming Valley Airport,Pennsylvania
Gamboa Airport,Chile
Chaitén Airfield,Chile
Chandalar Lake Airport,Alaska
Wadi Ain Airport,Yemen
Enid Woodring Regional Airport,Oklahoma
Hosea Kutako International Airport,Namibia
Wondai Airport,Queensland
